2025-01-15 17:43:12 | INFO | __main__ | Done ingesting price data for TECHM from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/techm_historical_prices.json.
2025-01-15 17:43:12 | INFO | __main__ | Ingesting 708 price rows for symbol=SBIN (stock_id=25) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/sbin_historical_prices.json.
2025-01-15 17:43:17 | INFO | __main__ | Done ingesting price data for SBIN from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/sbin_historical_prices.json.
2025-01-15 17:43:17 | INFO | __main__ | Ingesting 706 price rows for symbol=GAIL (stock_id=22) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/gail_historical_prices.json.
2025-01-15 17:43:24 | INFO | __main__ | Done ingesting price data for GAIL from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/gail_historical_prices.json.
2025-01-15 17:43:24 | INFO | __main__ | Ingesting 706 price rows for symbol=IOC (stock_id=23) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/ioc_historical_prices.json.
2025-01-15 17:43:30 | INFO | __main__ | Done ingesting price data for IOC from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/ioc_historical_prices.json.
2025-01-15 17:43:30 | INFO | __main__ | Ingesting 706 price rows for symbol=DLF (stock_id=29) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/dlf_historical_prices.json.
2025-01-15 17:43:36 | INFO | __main__ | Done ingesting price data for DLF from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/dlf_historical_prices.json.
2025-01-15 17:43:36 | INFO | __main__ | Ingesting 706 price rows for symbol=ULTRACEMCO (stock_id=30) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/ultracemco_historical_prices.json.
2025-01-15 17:43:42 | INFO | __main__ | Done ingesting price data for ULTRACEMCO from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/ultracemco_historical_prices.json.
2025-01-15 17:43:42 | INFO | __main__ | Ingesting 672 price rows for symbol=INDIGO (stock_id=27) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/indigo_historical_prices.json.
2025-01-15 17:43:47 | INFO | __main__ | Done ingesting price data for INDIGO from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/indigo_historical_prices.json.
2025-01-15 17:43:47 | INFO | __main__ | Ingesting 706 price rows for symbol=ONGC (stock_id=28) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/ongc_historical_prices.json.
2025-01-15 17:43:53 | INFO | __main__ | Done ingesting price data for ONGC from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/ongc_historical_prices.json.
2025-01-15 17:43:53 | INFO | __main__ | Ingesting 706 price rows for symbol=INFY (stock_id=35) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/infy_historical_prices.json.
2025-01-15 17:44:00 | INFO | __main__ | Done ingesting price data for INFY from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/infy_historical_prices.json.
2025-01-15 17:44:00 | INFO | __main__ | Ingesting 705 price rows for symbol=ADANIPORTS (stock_id=32) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/adaniports_historical_prices.json.
2025-01-15 17:44:06 | INFO | __main__ | Done ingesting price data for ADANIPORTS from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/adaniports_historical_prices.json.
2025-01-15 17:44:06 | INFO | __main__ | Ingesting 706 price rows for symbol=VEDL (stock_id=33) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/vedl_historical_prices.json.
2025-01-15 17:44:12 | INFO | __main__ | Done ingesting price data for VEDL from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/vedl_historical_prices.json.
2025-01-15 17:44:12 | INFO | __main__ | Ingesting 706 price rows for symbol=HDFCBANK (stock_id=34) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/hdfcbank_historical_prices.json.
2025-01-15 17:44:18 | INFO | __main__ | Done ingesting price data for HDFCBANK from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/hdfcbank_historical_prices.json.
2025-01-15 17:44:18 | INFO | __main__ | Ingesting 706 price rows for symbol=RELIANCE (stock_id=40) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/reliance_historical_prices.json.
2025-01-15 17:44:24 | INFO | __main__ | Done ingesting price data for RELIANCE from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/reliance_historical_prices.json.
