2025-01-13 10:00:16 | INFO | __main__ | Loaded config from config.json
2025-01-13 10:00:16 | INFO | __main__ | Loading index data from data/indices/NIFTY_100_stock_list.json
2025-01-13 10:00:16 | WARNING | __main__ | File not found: symbol_metadata.json
2025-01-13 10:00:16 | WARNING | __main__ | Metadata file symbol_metadata.json not a list or doesn't exist. Initializing as empty list.
2025-01-13 10:00:16 | INFO | __main__ | Processing index data to build/update metadata entries...
2025-01-13 10:00:16 | INFO | __main__ | Loading JSON from data/stock_prices/tcs_historical_prices.json
2025-01-13 10:00:16 | WARNING | __main__ | No date fields found in data/stock_prices/tcs_historical_prices.json
2025-01-13 10:00:16 | INFO | __main__ | Updating/Creating metadata entry for symbol: TCS
2025-01-13 10:00:16 | INFO | __main__ | Created new metadata entry for TCS
2025-01-13 10:00:16 | INFO | __main__ | Loading JSON from data/stock_prices/ltim_historical_prices.json
2025-01-13 10:00:16 | WARNING | __main__ | No date fields found in data/stock_prices/ltim_historical_prices.json
2025-01-13 10:00:16 | INFO | __main__ | Updating/Creating metadata entry for symbol: LTIM
2025-01-13 10:00:16 | INFO | __main__ | Created new metadata entry for LTIM
2025-01-13 10:00:16 | INFO | __main__ | Loading JSON from data/stock_prices/techm_historical_prices.json
2025-01-13 10:00:16 | WARNING | __main__ | No date fields found in data/stock_prices/techm_historical_prices.json
2025-01-13 10:00:16 | INFO | __main__ | Updating/Creating metadata entry for symbol: TECHM
2025-01-13 10:00:16 | INFO | __main__ | Created new metadata entry for TECHM
2025-01-13 10:00:16 | INFO | __main__ | Loading JSON from data/stock_prices/hcltech_historical_prices.json
2025-01-13 10:00:16 | WARNING | __main__ | No date fields found in data/stock_prices/hcltech_historical_prices.json
2025-01-13 10:00:16 | INFO | __main__ | Updating/Creating metadata entry for symbol: HCLTECH
2025-01-13 10:00:16 | INFO | __main__ | Created new metadata entry for HCLTECH
2025-01-13 10:00:16 | INFO | __main__ | Loading JSON from data/stock_prices/infy_historical_prices.json
2025-01-13 10:00:16 | WARNING | __main__ | No date fields found in data/stock_prices/infy_historical_prices.json
2025-01-13 10:00:16 | INFO | __main__ | Updating/Creating metadata entry for symbol: INFY
2025-01-13 10:00:16 | INFO | __main__ | Created new metadata entry for INFY
2025-01-13 10:00:16 | INFO | __main__ | Loading JSON from data/stock_prices/wipro_historical_prices.json
2025-01-13 10:00:16 | WARNING | __main__ | No date fields found in data/stock_prices/wipro_historical_prices.json
2025-01-13 10:00:16 | INFO | __main__ | Updating/Creating metadata entry for symbol: WIPRO
2025-01-13 10:00:16 | INFO | __main__ | Created new metadata entry for WIPRO
2025-01-13 10:00:16 | INFO | __main__ | Loading JSON from data/stock_prices/irctc_historical_prices.json
2025-01-13 10:00:16 | WARNING | __main__ | No date fields found in data/stock_prices/irctc_historical_prices.json
2025-01-13 10:00:16 | INFO | __main__ | Updating/Creating metadata entry for symbol: IRCTC
2025-01-13 10:00:16 | INFO | __main__ | Created new metadata entry for IRCTC
2025-01-13 10:00:16 | INFO | __main__ | Loading JSON from data/stock_prices/jswsteel_historical_prices.json
2025-01-13 10:00:16 | WARNING | __main__ | No date fields found in data/stock_prices/jswsteel_historical_prices.json
2025-01-13 10:00:16 | INFO | __main__ | Updating/Creating metadata entry for symbol: JSWSTEEL
2025-01-13 10:00:16 | INFO | __main__ | Created new metadata entry for JSWSTEEL
2025-01-13 10:00:16 | INFO | __main__ | Loading JSON from data/stock_prices/sbilife_historical_prices.json
2025-01-13 10:00:16 | WARNING | __main__ | No date fields found in data/stock_prices/sbilife_historical_prices.json
2025-01-13 10:00:16 | INFO | __main__ | Updating/Creating metadata entry for symbol: SBILIFE
2025-01-13 10:00:16 | INFO | __main__ | Created new metadata entry for SBILIFE
2025-01-13 10:00:16 | INFO | __main__ | Loading JSON from data/stock_prices/bajajfinsv_historical_prices.json
2025-01-13 10:00:16 | WARNING | __main__ | No date fields found in data/stock_prices/bajajfinsv_historical_prices.json
2025-01-13 10:00:16 | INFO | __main__ | Updating/Creating metadata entry for symbol: BAJAJFINSV
2025-01-13 10:00:16 | INFO | __main__ | Created new metadata entry for BAJAJFINSV
2025-01-13 10:00:16 | INFO | __main__ | Loading JSON from data/stock_prices/lt_historical_prices.json
2025-01-13 10:00:16 | WARNING | __main__ | No date fields found in data/stock_prices/lt_historical_prices.json
2025-01-13 10:00:16 | INFO | __main__ | Updating/Creating metadata entry for symbol: LT
2025-01-13 10:00:16 | INFO | __main__ | Created new metadata entry for LT
2025-01-13 10:00:16 | INFO | __main__ | Loading JSON from data/stock_prices/britannia_historical_prices.json
2025-01-13 10:00:16 | WARNING | __main__ | No date fields found in data/stock_prices/britannia_historical_prices.json
2025-01-13 10:00:16 | INFO | __main__ | Updating/Creating metadata entry for symbol: BRITANNIA
2025-01-13 10:00:16 | INFO | __main__ | Created new metadata entry for BRITANNIA
2025-01-13 10:00:16 | INFO | __main__ | Loading JSON from data/stock_prices/bhartiartl_historical_prices.json
2025-01-13 10:00:16 | WARNING | __main__ | No date fields found in data/stock_prices/bhartiartl_historical_prices.json
2025-01-13 10:00:16 | INFO | __main__ | Updating/Creating metadata entry for symbol: BHARTIARTL
2025-01-13 10:00:16 | INFO | __main__ | Created new metadata entry for BHARTIARTL
2025-01-13 10:00:16 | INFO | __main__ | Loading JSON from data/stock_prices/bajfinance_historical_prices.json
2025-01-13 10:00:16 | WARNING | __main__ | No date fields found in data/stock_prices/bajfinance_historical_prices.json
2025-01-13 10:00:16 | INFO | __main__ | Updating/Creating metadata entry for symbol: BAJFINANCE
