2025-01-15 16:19:55 | INFO | __main__ | Fetching prices for ADANIPOWER from 15-01-2025 to 15-01-2025
2025-01-15 16:19:57 | INFO | __main__ | Updated stock prices saved to data/stock_prices/adanipower_historical_prices.json
2025-01-15 16:19:57 | INFO | __main__ | Fetching historical prices for INDIGO from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:19:57 | INFO | __main__ | Fetching prices for INDIGO from 15-01-2025 to 15-01-2025
2025-01-15 16:19:59 | INFO | __main__ | Updated stock prices saved to data/stock_prices/indigo_historical_prices.json
2025-01-15 16:19:59 | INFO | __main__ | Fetching historical prices for TECHM from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:19:59 | INFO | __main__ | Fetching prices for TECHM from 15-01-2025 to 15-01-2025
2025-01-15 16:20:00 | INFO | __main__ | Updated stock prices saved to data/stock_prices/techm_historical_prices.json
2025-01-15 16:20:00 | INFO | __main__ | Fetching historical prices for CANBK from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:20:00 | INFO | __main__ | Fetching prices for CANBK from 15-01-2025 to 15-01-2025
2025-01-15 16:20:02 | INFO | __main__ | Updated stock prices saved to data/stock_prices/canbk_historical_prices.json
2025-01-15 16:20:02 | INFO | __main__ | Fetching historical prices for DLF from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:20:02 | INFO | __main__ | Fetching prices for DLF from 15-01-2025 to 15-01-2025
2025-01-15 16:20:04 | INFO | __main__ | Updated stock prices saved to data/stock_prices/dlf_historical_prices.json
2025-01-15 16:20:04 | INFO | __main__ | Fetching historical prices for LTIM from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:20:04 | INFO | __main__ | Fetching prices for LTIM from 15-01-2025 to 15-01-2025
2025-01-15 16:20:05 | INFO | __main__ | Updated stock prices saved to data/stock_prices/ltim_historical_prices.json
2025-01-15 16:20:05 | INFO | __main__ | Fetching historical prices for IRFC from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:20:05 | INFO | __main__ | Fetching prices for IRFC from 15-01-2025 to 15-01-2025
2025-01-15 16:20:08 | INFO | __main__ | Updated stock prices saved to data/stock_prices/irfc_historical_prices.json
2025-01-15 16:20:08 | INFO | __main__ | Fetching historical prices for COALINDIA from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:20:08 | INFO | __main__ | Fetching prices for COALINDIA from 15-01-2025 to 15-01-2025
2025-01-15 16:20:09 | INFO | __main__ | Updated stock prices saved to data/stock_prices/coalindia_historical_prices.json
2025-01-15 16:20:09 | INFO | __main__ | Fetching historical prices for LT from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:20:09 | INFO | __main__ | Fetching prices for LT from 15-01-2025 to 15-01-2025
2025-01-15 16:20:11 | INFO | __main__ | Updated stock prices saved to data/stock_prices/lt_historical_prices.json
2025-01-15 16:20:11 | INFO | __main__ | Fetching historical prices for EICHERMOT from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:20:11 | INFO | __main__ | Fetching prices for EICHERMOT from 15-01-2025 to 15-01-2025
2025-01-15 16:20:13 | INFO | __main__ | Updated stock prices saved to data/stock_prices/eichermot_historical_prices.json
2025-01-15 16:20:13 | INFO | __main__ | Fetching historical prices for LICI from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:20:13 | INFO | __main__ | Fetching prices for LICI from 15-01-2025 to 15-01-2025
2025-01-15 16:20:14 | INFO | __main__ | Updated stock prices saved to data/stock_prices/lici_historical_prices.json
2025-01-15 16:20:14 | INFO | __main__ | Fetching historical prices for GAIL from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:20:14 | INFO | __main__ | Fetching prices for GAIL from 15-01-2025 to 15-01-2025
2025-01-15 16:20:16 | INFO | __main__ | Updated stock prices saved to data/stock_prices/gail_historical_prices.json
2025-01-15 16:20:16 | INFO | __main__ | Fetching historical prices for ADANIENSOL from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:20:16 | INFO | __main__ | Fetching prices for ADANIENSOL from 15-01-2025 to 15-01-2025
2025-01-15 16:20:18 | INFO | __main__ | Updated stock prices saved to data/stock_prices/adaniensol_historical_prices.json
2025-01-15 16:20:18 | INFO | __main__ | Fetching historical prices for NHPC from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:20:18 | INFO | __main__ | Fetching prices for NHPC from 15-01-2025 to 15-01-2025
2025-01-15 16:20:19 | INFO | __main__ | Updated stock prices saved to data/stock_prices/nhpc_historical_prices.json
2025-01-15 16:20:19 | INFO | __main__ | Fetching historical prices for VEDL from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:20:19 | INFO | __main__ | Fetching prices for VEDL from 15-01-2025 to 15-01-2025
2025-01-15 16:20:21 | INFO | __main__ | Updated stock prices saved to data/stock_prices/vedl_historical_prices.json
